,x,y,tank_function,tank_material,tank_contents,tank_underground,volume,potable_water,asset_level_accuracy,asset_positional_accuracy,functional_loc
122,153.381873679,-27.954027144,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-BALLYB
123,153.357533173,-27.73494992,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-CHAR05
131,153.422298582,-27.906093007,SEPTIC,PLASTIC,GROUND WATER,N,11335.081081081082,N,F,E,S-TP-TPLNT-SCUR
133,153.423390188,-28.128695045,SEPTIC,CONCRETE,UNTREATED WATER,N,11335.081081081082,N,F,E,K-COPLIC
139,153.442974914,-28.0695974069999,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPOCEA
143,153.422287631,-27.9061379299999,SEPTIC,PLASTIC,GROUND WATER,N,11335.081081081082,N,F,E,S-TP-TPLNT-SCUR
144,153.360666514,-27.9159633589999,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-ADPEST
148,153.383553593,-27.957585219,SEPTIC,CONCRETE,EFFLUENT,Y,3.0,N,F,E,F-CMSLAW
149,153.423284097,-27.812533532,SEPTIC,PLASTIC,UNTREATED WATER,Y,11335.081081081082,N,F,E,F-OTSSTR
158,153.272730696,-27.801230002,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-CANOWI
162,153.410947228,-27.957815979,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPBROA
169,153.364972337,-28.00851026,SEPTIC,CONCRETE,UNTREATED WATER,N,11335.081081081082,N,F,D,F-SFGCSP-AMEN05
172,153.32941002,-27.9004067989999,SEPTIC,PLASTIC,UNTREATED WATER,Y,15.0,N,F,E,F-ACHELE
184,153.454343347,-28.0917914,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPBURL
185,153.468404503,-28.1433145149999,SEPTIC,CONCRETE,EFFLUENT,Y,10000.0,N,F,E,K-PRESTO
190,153.366119592,-27.780461283,SEPTIC,CONCRETE,EFFLUENT,Y,60.0,N,F,E,F-TPJACO
192,153.422016548,-27.896019934,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGBPAR
193,153.421917626,-27.896013103,SEPTIC,PLASTIC,RAIN WATER,N,20000.0,N,F,E,F-CGBPAR
194,153.421645871,-27.8959258859999,SEPTIC,PLASTIC,STORMWATER,Y,11335.081081081082,N,F,E,F-CGBPAR
195,153.421592153,-27.8959009989999,SEPTIC,PLASTIC,RAIN WATER,N,20000.0,N,F,E,F-CGBPAR
209,153.365432433,-27.7794170089999,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPJACO
210,153.422129755,-27.905506459,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGSCUR-MAINBU
212,153.425882162,-27.8086264089999,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGTIPP
213,153.422098131,-27.9055756,SEPTIC,FIBREGLASS,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGSCUR-MAINBU
214,153.34778644,-28.1345332339999,SEPTIC,CONCRETE,UNTREATED WATER,N,11335.081081081082,N,F,D,K-DAVENP
215,153.366089551,-27.78047235,SEPTIC,CONCRETE,EFFLUENT,Y,60.0,N,F,E,F-TPJACO
230,153.421585767,-27.906682786,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGSCUR-AMEN03
234,153.421882625,-27.9061383649999,SEPTIC,CONCRETE,EFFLUENT,N,11335.081081081082,N,F,E,F-CGSCUR-AMEN02
238,153.304736769,-27.737984996,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-ACWOON-AMEN01
239,153.42748855,-27.806633086,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
242,153.427501832,-27.8065961899999,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
256,153.365274942,-28.0062730249999,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,S-ME-PSCAT-W24
261,153.42333397,-28.133324979,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
264,153.253334947,-27.7854839039999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-BRIENH
267,153.427526008,-27.806650168,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
269,153.269895647,-27.945731419,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,E,K-CLIFFB
271,153.427511497,-27.8066762,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
272,153.427601328,-27.806643203,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
278,153.458069574,-28.100392778,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPTALL
